Product category,Year,Notification type,Risk,Notified by,Action taken,Distribution status,Risk decision,Country of origin,
"nuts, nut products and seeds",17/07/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",06/08/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/08/2018,information for attention,border control - consignment released,Poland,re-dispatch,distribution restricted to notifying country,serious,Nigeria,
"nuts, nut products and seeds",21/08/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",12/09/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",13/09/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",14/09/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,undecided,Nigeria,
"nuts, nut products and seeds",27/09/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",09/10/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",05/12/2018,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",19/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",21/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",21/12/2018,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",27/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",04/01/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",23/01/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",01/02/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
"nuts, nut products and seeds",20/02/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Nigeria,
